Banks,ROE,ROA,COD,COBR,ROAD,ROI,OPAST,INTINTOT,OTHINTOT,COMINTOT,NIITAST,SPRD,STEXTEX,PRVTAST,INTRMTAST,NETNPA,CRAR,BUSEMP,PFTEMP,
PS7,2.586539113,0.263407188,7.992768281,12.55336566,14.67010978,9.729664967,0.745848017,88.88297113,11.11702887,4.325980797,2.601881499,4.113033261,20.67234593,0.482440829,3.061980154,12.04,9.23,74,0.16,PS7
PS8,8.252127972,0.720764346,7.747230068,1.259428702,12.6888469,10.45520437,1.108077879,87.98091969,12.01908031,3.978278547,2.631251046,3.733348153,21.05182206,0.387313533,2.800241401,10.84,11.39,92.76,0.53,PS8
PS9,16.1712247,0.569453987,7.4542145,3.065996559,11.55582893,10.72160822,0.864111812,89.79931995,10.20068005,4.288457336,2.380851086,3.675852225,18.7834145,0.294657824,2.572686682,10.48,10.94,111.49,0.46,PS9
PS0,14.58302033,0.516344389,7.70715957,1.919066507,11.02977207,11.31780907,0.825384095,87.96328847,12.03671153,3.48049068,2.347910135,3.467295949,20.40183366,0.309039706,2.822506346,9.39,11.57,124.96,0.51,PS0
SBBJ7,20.92028259,0.497077904,8.08288762,0.52680786,13.85489811,11.05529442,1.927163783,85.17265679,14.82734321,12.52817828,3.324919611,4.565257183,22.47682932,1.430085879,2.972396061,7.96,8.82,52,0.27,SBBJ7
SBBJ8,26.29246213,1.061574705,7.753157971,2.246923268,12.4852434,11.71623658,2.298665476,83.95094825,16.04905175,12.21363162,3.683372261,4.396970379,26.24838959,1.237090771,3.293144659,7.13,10.65,63.24,1.3,SBBJ8
SBBJ9,21.91000974,0.898267422,7.711118563,5.968467352,11.98680314,11.05948044,1.584998028,85.4898206,14.5101794,12.09217095,3.229382205,3.814396537,26.00569776,0.686730607,3.243789038,10.45,12.26,74.17,1.14,SBBJ9
SBBJ0,23.01947445,0.965732119,7.622448885,12.27493025,10.94404444,10.77495613,1.907725653,83.52815441,16.47184559,12.56825362,2.996401985,3.23298812,23.9202756,0.941993535,2.947470026,10.14,12.35,86.47,1.69,SBBJ0
SBHY7,17.6646029,0.556289209,7.93466169,8.459242594,14.84658856,10.20626698,2.432390795,86.72624881,13.27375119,9.726561408,3.691679728,4.961184568,17.07100359,1.876101586,2.810255321,11.42,10.84,74,0.37,SBHY7
SBHY8,24.94583927,0.914624338,7.057786111,9.203809518,12.26519218,11.40208434,2.695907487,85.86594217,14.13405783,10.50420335,3.614913988,4.824352967,21.34759991,1.781283149,2.522821909,10.88,10.83,90,0.68,SBHY8
